id,title,category,pillar,type,image,description,alt,source
familypd-primary-logo,FamilyPD Primary Logo,Brand Assets,All Pillars,Logo,/assets/media/familypd-primary-logo.webp,"The primary FamilyPD logo featuring the five growth bars, family silhouettes, arrow, and growing leaves.","FamilyPD logo with colorful growth bars, a family silhouette, an upward arrow, and leaves.",FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
growth-starts-at-home-cover,Growth Starts at Home,Social Media,All Pillars,Cover Graphic,/assets/media/growth-starts-at-home-cover.webp,A FamilyPD cover graphic reinforcing that intentional family growth begins at home.,FamilyPD cover graphic reading Growth starts at home with colorful growth bars.,FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
familypd-os-logo,FamilyPD OS Logo,Brand Assets,Systems,Logo,/assets/media/familypd-os-logo.webp,The FamilyPD Operating System brand mark.,"FamilyPD OS logo with family silhouettes, colorful growth bars, arrow, and leaves.",FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
familypd-os-dashboard-preview,FamilyPD OS Dashboard Preview,Family Tools,Systems,App Preview,/assets/media/familypd-os-dashboard-preview.webp,A preview of the FamilyPD OS household dashboard and integrated family tools.,Screenshot preview of a FamilyPD OS family dashboard with pillar cards and household tools.,FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
relationships-pillar-overview,Relationships Pillar Overview,Five Pillars,Relationships,Infographic,/assets/media/relationships-pillar-overview.webp,"A FamilyPD overview of connection, communication, respect, repair, boundaries, and support.",FamilyPD Relationships pillar infographic with practices for stronger family relationships.,FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
goals-pillar-overview,Goals Pillar Overview,Five Pillars,Goals,Infographic,/assets/media/goals-pillar-overview.webp,"A FamilyPD overview of vision, planning, progress, support, and celebration.",FamilyPD Goals pillar infographic with goal-setting and progress practices.,FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
finances-pillar-overview,Finances Pillar Overview,Five Pillars,Finances,Infographic,/assets/media/finances-pillar-overview.webp,"A FamilyPD overview of earning, budgeting, saving, debt, protection, and financial growth.",FamilyPD Finances pillar infographic with money-management practices.,FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
education-pillar-overview,Education-and-Skills Pillar Overview,Five Pillars,Education,Infographic,/assets/media/education-pillar-overview.webp,"A FamilyPD overview of learning, credentials, skills, opportunity, and lifelong growth.",FamilyPD Education pillar infographic with learning and career-development practices.,FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
better-systems-stronger-families,"Better Systems, Stronger Families",Family Tools,Systems,Framework Graphic,/assets/media/better-systems-stronger-families.webp,"A visual showing how family systems, routines, responsibilities, and communication support stronger households.",FamilyPD systems infographic connecting household systems to stronger family outcomes.,FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
news-insights-domestic-violence,News Insights: Domestic Violence and Family Health,News Insights,Health,News Infographic,/assets/media/news-insights-domestic-violence.webp,A FamilyPD News Insights visual examining a Las Vegas police domestic-violence case through the five pillars.,FamilyPD News Insights infographic about a Las Vegas police officer arrested on domestic violence charges.,FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
news-insights-teen-violence,News Insights: Community Action Against Teen Violence,News Insights,Relationships,News Infographic,/assets/media/news-insights-teen-violence.webp,A FamilyPD News Insights visual connecting teen-violence prevention with family and community involvement.,FamilyPD News Insights infographic about Charlotte leaders requesting more community involvement to stop teen violence.,FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
school-accommodations-explained,School Accommodations Explained,Learning Center,Education,Learning Infographic,/assets/media/school-accommodations-explained.webp,A plain-language overview of school accommodations and how families can support student access.,FamilyPD Word of the Day infographic explaining school accommodations.,FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
disc-communication-style-update,DISC Communication Style Tool,Family Tools,Self-awareness,Tool Announcement,/assets/media/disc-communication-style-update.webp,A visual explaining the FamilyPD DISC-style communication reflection and immediate results.,FamilyPD graphic announcing the DISC communication style reflection tool.,FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
socioeconomic-mobility-explained,Socioeconomic Mobility Explained,Learning Center,Finances,Learning Infographic,/assets/media/socioeconomic-mobility-explained.webp,A plain-language explanation of economic and social mobility across generations.,FamilyPD Word of the Day infographic explaining socioeconomic mobility.,FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
social-classes-by-finances,Social Classes by Finances,Learning Center,Finances,Learning Infographic,/assets/media/social-classes-by-finances.webp,"A reflective financial-class graphic showing how income, stability, assets, and vulnerability may differ.",FamilyPD infographic comparing social classes by finances and household stability.,FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
families-on-ramp-to-society,Families Are the On-Ramp to Society,Social Media,Community,Framework Graphic,/assets/media/families-on-ramp-to-society.webp,A FamilyPD visual showing how home preparation supports successful participation in larger systems and communities.,FamilyPD highway metaphor showing families merging onto the road of society.,FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
lessons-from-lego,Lessons from Great Organizations: LEGO,Learning Center,Systems,Case Study Infographic,/assets/media/lessons-from-lego.webp,"A FamilyPD case-study visual about resilience, innovation, focus, and systems using LEGO as an example.",FamilyPD infographic titled Lessons from Great Organizations: LEGO.,FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
let-them-theory-book-spotlight,The Let Them Theory: Focus on You,Books,Relationships,Book Spotlight,/assets/media/let-them-theory-book-spotlight.webp,A FamilyPD book-learning visual about releasing control and focusing on one’s own choices.,FamilyPD book spotlight for The Let Them Theory with reflection and action ideas.,FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
think-and-grow-rich-book-spotlight,Think and Grow Rich Book Spotlight,Books,Goals,Book Spotlight,/assets/media/think-and-grow-rich-book-spotlight.webp,A FamilyPD visual summarizing selected lessons and family applications from Think and Grow Rich.,FamilyPD book spotlight for Think and Grow Rich.,FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
outwitting-the-devil-book-spotlight,Outwitting the Devil Book Spotlight,Books,Goals,Book Spotlight,/assets/media/outwitting-the-devil-book-spotlight.webp,"A FamilyPD visual about fear, drifting, discipline, and purpose inspired by Outwitting the Devil.",FamilyPD book spotlight for Outwitting the Devil.,FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
join-the-familypd-movement,Join the FamilyPD Movement,Social Media,Community,Call to Action,/assets/media/join-the-familypd-movement.webp,"A public call to follow FamilyPD, use the free website resources, and share the movement.","FamilyPD call-to-action graphic encouraging families to follow, visit the website, and share.",FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
ecology-of-mind,An Ecology of Mind,Curiosity Library,Health,Learning Infographic,/assets/media/ecology-of-mind.webp,"A learning visual exploring mental processes, awareness, and interconnected influences on thought.",Educational infographic titled An Ecology of Mind with diagrams about mental processes.,FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
family-learning-journey,Our Learning Journey,Curiosity Library,Education,Learning Collage,/assets/media/family-learning-journey.webp,A visual collection of topics explored through the FamilyPD Curiosity Library.,"FamilyPD learning-journey collage with science, technology, and family-learning topics.",FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
